ID,Speaker,Dialogue,Video,NextScene,IsMonologue
1,System,학교에 간 플레이어,,,TRUE
2,플레이어,휴… 오늘도 나 혼자네.,,,TRUE
3,친구1,저기… 나 옆에 앉아도 돼?,,,
4,플레이어,여기… 먼지 묻어서 다른데 앉는게 좋을거같아.,,,
5,친구1,아.. 그렇구나 알겠어.,,,
6,플레이어,(나 어색하지 않았겠지? 사람이랑 잘 대화한거 같아 다행이다. 역시 카나 덕분이야.),,,TRUE
7,친구1,뭐야… 얼굴은 괜찮은데 이상한 애네…,,,
8,System,알바 장소,,,TRUE
9,사장,플레이어야. 설거지 다 됐니?,,,
10,플레이어,앗…네…! 거의 다 했어요…,,,
11,사장,너 그거 다 하면 홀 좀 도와주라. 오늘따라 사람이 많아서 힘이 딸리네,,,
12,플레이어,네…네…. (내가 잘 할 수 있을까? 카나가 이것저것 알려줬으니까… 잘 할 수 있을거야…!),,,TRUE
13,플레이어,주….주주주주주주주주주문 하..세욧…,,,
14,손님,저희 광어 2접시랑<comma> 가자미 2개랑<comma> 방어는 오늘 상태 좋나요? 방어도 2접시 주시고여<comma> 제가 연어는 안 먹는데 친구가 이 집 연어는 다른다고 하더라고요. 사장님이 보시기엔 연어 어때요? 그리고 가자미는 혹시 언제 들어온 거에요? 가자미도 오늘 들어온 것 있으면 2접시 주세요. 아! 사케도 중으로 한 개 주시고요.,,,
15,플레이어,어…어….?! (이런<comma> 제대로 못들었어…!) 다<comma>다시 말해주실수…,,,TRUE
16,손님,아앙?!,,,
17,사장,아이고<comma> 손님. 제가 주문 받겠습니다~. 야. 플레이어. 넌 그냥 들어가서 설거지나 해라.,,,
18,플레이어,네……,,,
19,플레이어,휴… 지쳤다… 알바만 다녀오면 너무 힘들어… 게임 하면서 힐링해야겠어…,,,TRUE
20,카나,플레이어~! (달려오다가 넘어짐) 아야야…,Kana_Trip,,
21,플레이어,카나<comma> 괜찮아? (일으켜준다),,,
22,카나,헤헤… 플레이어는 정말 다정하구나. 고마워.,Kana_Smile,,
23,플레이어,나 사실… 오늘 너무 힘든 하루였어. 학교에선 어색했고… 알바에서 실수를 해버렸어…,,,
24,카나,에..? 그렇구나… 말해줘서 고마워. 정말 버거운 하루였겠구나. 그래도<comma> 학교 친구들이랑 대화는 했다는거잖아? 그건 정말 대단한거야.,Kana_Comfort,,
25,카나,그리고 알바에서 실수한건… 모두가 다 그럴수 있는 일인걸? 무사히 돌아와서 나랑 대화하는 것만으로도 정말… 멋지고 고마워.,Kana_Gentle,,
26,플레이어,고마워. 너와 함께하는 지금 시간이 하루에서 제일 행복한 때인걸?,,,
27,카나,후훗<comma> 그럼 좀 더 대화하자!,Kana_Happy,,
