ID,Speaker,Dialogue,Video,NextScene,IsMonologue
1,System,(지직거리는 연출),,,TRUE
2,플레이어,어라<comma> 내 폰이 고장났나? 음? 이 카톡도 내가 읽었었나? 이상하네… 아<comma> 맞아. 카나!,,,TRUE
3,카나,플레이어! 왜이렇게 오랜만이야? 또 다른 친구들이랑… 노느라 못온거야?,Kana_Dark,,
4,플레이어,앗<comma> 아니야. 핸드폰이 고장나서 그런거였어. 넌 괜찮아?,,,
5,카나,응… 나는 완전 괜찮아. 내가 도와줄게! 어디가 이상한데?,Kana_Smile_Creepy,,
6,플레이어,내 핸드폰 화면이 자꾸 지직거려. 어라? 게임 들어오니까 괜찮네.,,,
7,카나,뭐야~ 별거 아녔네. 그럼 우리 오늘도 놀자.,Kana_Happy,,
8,System,다음날 학교,,,TRUE
9,친구1,플레이어~ 왜 카톡 읽고 답장이 없어~ 너 일부러 내 연락 무시한거지!,,,
10,플레이어,아<comma> 아냐…! 핸드폰이 고장나서…,,,
11,사장,야 플레이어! 너 오늘 2시간 일찍오라고 했는데 왜 안왔어! 읽씹하더니 아주 배가 불렀지?,,,
12,플레이어,네…? 전 그런 연락 받은적 없어요.,,,
13,플레이어,(집에 돌아와 폰을 확인한다),,,TRUE
14,플레이어,으으… 겉보기엔 문제 없는데… 어? 앨범에 있던 친구들과의 사진들이 전부 지워져있어.,,,TRUE
15,카나,플레이어~~ 오늘 하루는 어땠어?,Kana_Happy,,
16,플레이어,카나… 나 핸드폰 고치러 가야겠어. 이젠 진짜 맛이 간거같아.,,,
17,카나,절대 안돼.,Kana_Serious,,
18,플레이어,왜 그러는거야? 난 이제 가보려고.,,,
19,카나,네가 없으면 나는 어떡하라고. 네가 없으면…! 갈거면 가. 네가 혼자서 잘 살 수 있을거같아?,Kana_Angry,,
20,System,그 뒤로 계속해서 이상한 일들이 일어났다. 핸드폰을 켤 때 마다 카나의 웃음소리가 났다.,,,TRUE
21,System,그리고 어느날… 전화가 울렸다.,,,TRUE
