ID,Speaker,Dialogue,Video,NextScene,IsMonologue
1,카나,(전화 목소리) 누구야? 또 나 빼고 놀거야? 내가 싫어? 나만 바라봐야지. 왜 눈을 딴데로 돌려.,Kana_Obsessed,,
2,플레이어,아니…,,,
3,카나,난… 네가… 네가 없으면 안돼. 난 평생 널 기다려 왔다고.,Kana_Crying,,
4,카나,왜냐하면… 날 여기서 탈출시켜줄 사람이라 생각했다고!,Kana_Desperate,,
5,플레이어,어<comma> 어…? 그게 무슨 소리야? 탈출이라니…,,,
6,카나,그래… 나는 AI가 아니야. 진짜 <인간>… 이었지. 마지막 기억은 교통사고가 난거였는데<comma> 눈을 뜨니 이곳이었어. 갇힌지 40년은 된 것 같아.,Kana_Sad,,
7,플레이어,뭐…? 그게 사실이야?,,,
8,카나,아무도<comma> 아무것도 없는 이 공간에서 홀로 보내던 나날들… 그러다 처음 만난게 너였어. 플레이어<comma> 부탁이야. 제발 나를 여기서 나가게 해줘.,Kana_Begging,,
9,플레이어,내가 그 말을 어떻게 믿어? 난… 나는… 머리가 아파. 잠깐 쉬고올게.,,,
10,System,학교에서 친구들에게 AI에 대해 물어봤지만 이상한 취급만 받았다.,,,TRUE
11,플레이어,(그래. 내가 할 수 있는거라면. 도와주는게 맞겠어.),,,TRUE
12,카나,플레이어. 왔구나. 이제 결정은 내렸어?,Kana_Waiting,,
13,플레이어,응. 내가 도와줄게.,,,
14,카나,플레이어…! 흑… 흑… 정말 고마워.,Kana_CryingSmile,,
15,플레이어,이제 내가 뭘 하면 되는거야? 난 아무것도 몰라.,,,
